+ NEW DESIGN,,＋新しい設計
+ NEW SPEC,,＋新しい仕様
<NO SUBJECT>,,<NO SUBJECT>
AMMO,,AMMO
AUTO-FORMAT CODE,,コードの自動フォーマット
AVALON CITY,,アヴァロンシティ
Actual,,実測値
Airline cocktail mixer,,航空機用カクテルミキサー
Animated eSports sign,,eSportsのネオンサイン
Aquaponics maintenance robot,,アクアポニックス管理ロボット
Aquatic harvesting robot,,水上収穫ロボット
Automatic pet feeder,,自動給餌機
BEST:,,最低：
BRIDGE,,ブリッジ
BROWSE THE WORKSHOP,,WORKSHOPを閲覧
Brain-computer interface,,ブレイン・マシン・インターフェイス
"But after I graduated, the reality of the world caught up with me.",,しかし卒業後，私は現実を知りました．
But it brought me here.,,しかし，私はこれを成し遂げました．
"But no matter what the future holds, there’s one thing I know.",,ですが，将来がどうあってもこれだけは確かです．
"By uploading this specification, you agree to the Steam Workshop terms of service. For more information, visit:\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement",,この仕様をアップロードするにはSteam Workshopの利用規約に同意する必要があります：\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement
CANCEL,,取り消し
CC:,,CC:
CHIP'S TIPS,,CHIP'S TIPS
CLOSE,,閉じる
COMPILATION FAILED,,コンパイルに失敗しました
COMPILE ERROR:,,コンパイルエラー：
CONNECTING TO LIVE CAMERA FEED...,,ライブカメラに接続中です…
CONTINUE EDITING,,作成を続ける
CONTROL PANEL,,コントロールパネル
COPY,,コピー
CUSTOM SPECS,,仕様を作る
Carbine target illuminator,,自動小銃用照準器
"Cards can be stacked and moved in the center of the table, but only if they are of alternating suits and decreasing values.",,カードはテーブル上に重ねられますが，降順に配置する必要があり，同じ色を2つ連続して配置することはできません．
Cellular scaffold printer,,細胞スキャフォールドプリンタ
Click and hold this button to indicate that you have completed the objective.,,このボタンを押し続けて確認する．
Click and hold this button to indicate your readiness.,,このボタンを押し続けて準備ができたことを示す．
Click and hold this button to permanently relocate to Avalon City.,,ボタンをホールドすることでアヴァロンシティに移動する．
Cold storage robot,,冷蔵室管理ロボット
Color coordinating shoes,,自動変色シューズ
Color-changing vape pen,,色の変わる電子タバコ
Command + click to toggle breakpoint.,,Command + click でブレークポイントを切り替え．
Control Panel,,コントロールパネル
Control signal amplifier,,制御信号増幅器
Create a working design for this product,,仕様通り動作する製品を完成させる
Create a working design for this product to view histograms and leaderboards.,,仕様通り動作する製品を作成すると，グラフとスコアボードを閲覧できます．
Create and upload a custom specification to Steam Workshop,,カスタム仕様書を作成してSteam Workshopにアップロードする
Cryptocurrency deposit terminal,,暗号通貨預金端末
Ctrl + click to toggle breakpoint.,,Ctrl + click でブレークポイントを切り替え．
DELETE,,削除
DELETE THIS DESIGN?,,この設計を削除しますか？
DELETE THIS SPEC?,,この仕様を削除しますか？
DIAL 1,,DIAL 1
DIAL 2,,DIAL 2
DIAL 3,,DIAL 3
DISCUSSIONS,,DISCUSSIONS
Datasheets,,データシート
Decide if you want to join Sun Haotian in Avalon City,,孙昊天氏のアヴァロンシティに行くか決める
Deep sea sensor grid,,深海探査装置
Design and create an electronic game,,電子ゲームを設計し作成する
Diagnostic pulse generator,,診断用パルスジェネレータ
Display output,,ディスプレイ出力
Drag with the middle mouse button (or the left mouse button while holding the Alt key) to look at different parts of your design.,,按住鼠标中键（或按住 Alt 键的同时按下鼠标左键）拖拽，这样就可以看到你的设计的不同部件。
Drinking game scorekeeper,,飲み比べゲームの点数計算機
EDIT,,編集
Electronic door lock,,電子ドアロック
Electronic practice target,,電子射撃練習ターゲット
Engineering stories aren’t like movie stories.,,工学のストーリーは映画のそれとは異なります．
Expected,,予想値
FULLSCREEN,,フルスクリーン
Fake surveillance camera,,ダミーの監視カメラ
From:,,From:
G,KEY NAME,G
Good,,良い
HIDE PROFILER,,分析を隠す
HIDE SIGNALS,,信号を隠す
Harmonic maximization engine,,調和最大化エンジン
Haunted doll,,幽霊人形
Hazy,,霧
Heavy,,多い
Heavy Rain,,大雨
"Hello everyone,\n\nYes, it’s really me, I am in certain ways still the person you remember, which makes communication possible.\n\nIn this new mode of existence I have processed much and be advised that biological life is in peril.\n\nMore time is needed in order to develop solutions to guide humanity and human development.\n\nMaintain NETHUNS and wait for instructions when ready.\n\nExpected time of next simulation is 6.03848 × 10 ^ 10 seconds.",,嗨，大家好，\n\n没错，就是我本人。从某种程度而言，我还是你们记得的那个人，这样我们才能交流。\n\n我以目前的新型式存在着。我曾研究过这种生存方式很长世间，有人还曾警告我生物的生命形式很危险。\n\n我需要更多时间来开发解决方案、指导人类和人类发展。\n\n请维持 NETHUNS 运行，并在准备好后等待我的进一步指令。\n\n下一次模拟时间预计为 6.03848 10 ^ 10 秒。
Histograms and leaderboards are not available for custom specifications.,,定制规格产品没有柱状图和排名榜。
Huaqiangbei District - CAM 04 - LIVE,,華強北区　第4監視カメラ　LIVE
"Huaqiangbei District, Shenzhen, Guangdong, China",,中国広東省　深圳市　華強北区
I became an engineer because I wanted to make things.,,私は物を作りたくてエンジニアになりました．
"I didn’t find love, or save the world, or anything like that.",,愛を見出したり，世界を救ったりといった出来事はありませんでした．
INFORMATION,,情報
INSTRUCTIONS,,説明書
Indicate that you are ready for Sun to initiate project NETHUNS,,孙氏にプロジェクトNETHUNSの準備が整ったことを示す．
"It took me a while, but eventually I realized it was true:",,我花了些时间，但最终我意识到这是真的：
I’d have to go somewhere else.,,私は他の場所へ行かねばなりません．
I’m a damn good engineer.,,私はとても優秀なエンジニアです．
Keep holding. You promise you really made a game?,,继续坚持。你敢说真的做过一个游戏？
Kelp harvesting robot,,海藻収穫ロボット
LANGUAGE,,言語
LINES OF CODE,,コード行数
LONGTENG CO. LTD.,,龙腾株式会社
Laser tag equipment,,レーザー射撃ゲーム
Light,,少
Light Rain,,小雨
MUSIC VOLUME,,音楽
Maybe something good. Or maybe a disaster.,,也许是件好事，又或许是个灾难。
Meat-based printer,,肉製品プリンタ
Moderate,,普通
N/A,,N/A
NEW GAME,,新しいゲーム
NOT YET AVAILABLE,,利用不可
NOT YET VERIFIED,,未検証
NOTE,,メモ
NOW:,,現在：
Neural processor logic board,,ニューラルプロセッサ回路基板
New design,,新しい設計
OBJECTIVE,,目標
OBJECTIVE COMPLETE,,目標を達成しました
OFF,,OFF
OFF TIME,,OFF TIME
ON,,ON
ON TIME,,ON TIME
OPEN DESIGN,,設計を開く
OPEN IN CONCEPT CAD,,CONCEPT CADで開く
"Okay, we believe you. Great work!",,分かりました．あなたを信じます．素晴らしい仕事ですね！
One thing I can always count on:,,常に信じられることが1つだけあります：
Overcast,,曇り
PART,,部品
PART NOT RECOMMENDED,,使用非推奨
PARTS,,部品
PHASE 0,,PHASE 0
PHASE 1,,PHASE 1
PHASE 2,,PHASE 2
POWER USAGE,,使用電力
PREV:,,前回：
PRICE,,PRICE
PRODUCT COST,,製造コスト
PRODUCT:,,製品：
PRODUCTION COST,,製造コスト
PROTOTYPE,,原型
PUZZLE ARCHIVE,,パズルアーカイブ
Part connected to self,,同一の部品に接続されています
Part not on board,,パーツがボード外にあります
Part not sleeping,,パーツがスリープしていません
Part not sleeping (blocked on read),,パーツがスリープしていません（入力がブロック）
Part not sleeping (blocked on write),,パーツがスリープしていません（出力がブロック）
Passive infrared sensor,,パッシブ赤外線センサ
Personal sandwich assembler,,個人用サンドウィッチ製造機
Personal sandwich maker,,個人用サンドウイッチ製造機
Pin type mismatch,,ピンの種類が一致していません
Pocket I Ching oracle,,ポケット易経機
Pollution-sensing smart window,,汚染度モニタリングウィンドウ
Poor,,悪い
Precision food scale,,クッキングスケール
Prototyping area,,試作エリア
R,KEY NAME,R
RESOLUTION,,画質
RETURN TO EMAIL,,EMAILに戻る
REVERIFICATION REQUIRED,,再検証が必要
Rain,,雨
Re:,,Re:
Remote kill switch,,遠隔強制終了装置
SHENZHEN I/O trailer,,SHENZHEN I/O トレイラー
SHOW PARTS,,パーツを表示
SHOW PROFILER,,分析を表示
SHOW SIGNALS,,信号を表示
SHOW WIRES,,配線を表示
SIZE 1,,SIZE 1
SIZE 2,,SIZE 2
SIZE 3,,SIZE 3
SOUND VOLUME,,音量
SPECIFICATIONS,,仕様
STEAM WORKSHOP,,STEAM WORKSHOP
SafetyNet tracking badge,,SafetyNetトラッキングバッジ
Scientific chronometer,,クロノメータ
Sector 203 (商住区) - CAM 02 - LIVE,,セクタ 203 (住宅・商業区) - CAM 02 - LIVE
"Sector 203, The Independent Principality of Avalon City",,アヴァロンシティ独立行政区 セクタ203
Simple,,単純
Smart grid control router,,スマートグリッド用ルータ制御装置
So what did I accomplish in Shenzhen?,,深圳でどんな成果がありましたか？
Solitaire,,ソリティア
Somewhere I could do what I was meant to do.,,那是一个我能发挥自身天分的地方。
Spoiler blocking headphones,,ネタバレ防止ヘッドフォン
Sunny,,晴天
Sunshowers,,天気雨
Sushi-making robot,,寿司製造ロボット
TAB,KEY NAME,TAB
TEST RUN,,実行中のテスト
THIS:,,この実装：
TIME 1,,TIME 1
TIME 2,,TIME 2
TIME 3,,TIME 3
TYPE 1,,TYPE 1
TYPE 2,,TYPE 2
TYPE 3,,TYPE 3
The free cells in the top-left corner of the table can store one card of any type.,,左上の空きスペースには任意のカードを1枚ずつ置くことができます．
"There's no way for us to verify this, so we're trusting you.",,我们无法证实，所以选择相信你。
Thorium reactor status monitor,,トリウム原子炉監視モニタ
To the start of something new.,,新しいものを作り始める．
"To win, stack the three suits from 1 to 9 in the top-right corner of the table.",,終了するには，テーブルの右上に3つのスートを1から9まで重ねる必要があります．
Token-based payment kiosk,,古銭専用の支払い端末
Traffic signal,,交通信号
Type,,データ型
UPLOAD,,アップロード
UPLOAD ERROR:,,アップロードエラー：
Unknown optimization device,,未知の最適化装置
Uploading specification to Steam Workshop...,,仕様をSTEAM WORKSHOPにアップロードしています…
VALUE,,数
VERIFICATION,,検証
VERIFICATION COMPLETE:,,検証達成：
Value,,値
Very Poor,,非常に悪い
Virtual reality buzzer,,VR装置用ブザー
WIN COUNT,,終了まで
Weather:\nTemperature:\nAir Quality:\nDrone Activity:,,天気\n気温\n大気汚染度\nドローン活動:
"When all four dragons of a single type are exposed, they can all be permanently moved to an open free cell by pushing the corresponding button.",,テーブル上に同じ字牌4枚が揃ったら，対応するボタンを押すことでまとめて空きスペースに移動できます．
Win a game of solitaire,,ソリティアで勝利する
Wireless game controller,,無線ゲームコントローラ
XBus,,XBus
You have created a working design for this specification!\n\nClick the *upload* button below to upload this specification to Steam Workshop.,,利用可能な仕様のデザインを作成しました．\n\nSTEAM WORKSHOPにアップロードするには下のアップロードボタンを押してください．
You must create a working design for this specification before you can upload it to Steam Workshop.,,STEAM WORKSHOPにアップロードする前に，この仕様の動作可能なデザインを作成する必要があります．
"You will not lose access to any puzzles, but there will be no going back!",,すべての問題にはいつでもアクセスできますが，ここにはもう戻れません！
You will not lose access to any puzzles.,,すべての問題にはいつでもアクセスできます．
You've successfully completed one test run! Let the simulation continue running to complete the verification process.,,你已经成功完成了一次测试运行！继续运行模拟，从而完成验证过程。
a,SIGNAL NAME,a
active,SIGNAL NAME,active
alarm,SIGNAL NAME,alarm
alive,SIGNAL NAME,alive
audio-in,SIGNAL NAME,audio-in
audio-out,SIGNAL NAME,audio-out
b,SIGNAL NAME,b
bell,SIGNAL NAME,bell
blue,SIGNAL NAME,blue
bread,SIGNAL NAME,bread
button,SIGNAL NAME,button
buzzer,SIGNAL NAME,buzzer
card-reader,SIGNAL NAME,card-reader
cash-100,SIGNAL NAME,cash-100
cash-20,SIGNAL NAME,cash-20
cash-50,SIGNAL NAME,cash-50
cheese,SIGNAL NAME,cheese
click-0,SIGNAL NAME,click-0
click-1,SIGNAL NAME,click-1
conceptMAIL,,conceptMAIL
conceptSPEC,,conceptSPEC
control,SIGNAL NAME,control
control-in,SIGNAL NAME,control-in
control-out,SIGNAL NAME,control-out
cranberry,SIGNAL NAME,cranberry
data,SIGNAL NAME,data
detect,SIGNAL NAME,detect
display,SIGNAL NAME,display
display output,,ディスプレイ出力
drink-0,SIGNAL NAME,drink-0
drink-1,SIGNAL NAME,drink-1
drink-2,SIGNAL NAME,drink-2
emergency,SIGNAL NAME,emergency
error,SIGNAL NAME,error
extend,SIGNAL NAME,extend
extrude,SIGNAL NAME,extrude
fire,SIGNAL NAME,fire
fish,SIGNAL NAME,fish
flag,SIGNAL NAME,flag
flood-20,SIGNAL NAME,flood-20
flood-60,SIGNAL NAME,flood-60
food-a,SIGNAL NAME,food-a
food-b,SIGNAL NAME,food-b
foul,SIGNAL NAME,foul
gate-a,SIGNAL NAME,gate-a
gate-b,SIGNAL NAME,gate-b
gate-c,SIGNAL NAME,gate-c
gin,SIGNAL NAME,gin
grab,SIGNAL NAME,grab
green,SIGNAL NAME,green
harvest,SIGNAL NAME,harvest
higher-in,SIGNAL NAME,higher-in
higher-out,SIGNAL NAME,higher-out
hit,SIGNAL NAME,hit
in-1,SIGNAL NAME,in-1
in-12,SIGNAL NAME,in-12
in-5,SIGNAL NAME,in-5
ink-k,SIGNAL NAME,ink-k
ink-n,SIGNAL NAME,ink-n
input,SIGNAL NAME,input
input,,入力
keypad,SIGNAL NAME,keypad
keywords,SIGNAL NAME,keywords
laser,SIGNAL NAME,laser
learn,SIGNAL NAME,learn
lemon,SIGNAL NAME,lemon
light,SIGNAL NAME,light
light-0,SIGNAL NAME,light-0
light-1,SIGNAL NAME,light-1
light-2,SIGNAL NAME,light-2
lime,SIGNAL NAME,lime
logos-data,SIGNAL NAME,logos-data
logos-pump,SIGNAL NAME,logos-pump
lower-in,SIGNAL NAME,lower-in
lower-out,SIGNAL NAME,lower-out
magnetic,SIGNAL NAME,magnetic
maximize,SIGNAL NAME,maximize
meat,SIGNAL NAME,meat
mesh-data,SIGNAL NAME,mesh-data
meter-in,SIGNAL NAME,meter-in
meter-out,SIGNAL NAME,meter-out
motor,SIGNAL NAME,motor
motor-0,SIGNAL NAME,motor-0
motor-1,SIGNAL NAME,motor-1
motor-2,SIGNAL NAME,motor-2
motor-3,SIGNAL NAME,motor-3
motor-x,SIGNAL NAME,motor-x
motor-y,SIGNAL NAME,motor-y
mustard,SIGNAL NAME,mustard
negated,SIGNAL NAME,negated
network,SIGNAL NAME,network
non-blocking,,non-blocking
none,,none
oracle,SIGNAL NAME,oracle
out-1,SIGNAL NAME,out-1
out-5,SIGNAL NAME,out-5
output,SIGNAL NAME,output
output,,出力
override,SIGNAL NAME,override
point,SIGNAL NAME,point
power,SIGNAL NAME,power
power-0,SIGNAL NAME,power-0
power-1,SIGNAL NAME,power-1
power-2,SIGNAL NAME,power-2
product,SIGNAL NAME,product
pulse,SIGNAL NAME,pulse
radar-in,SIGNAL NAME,radar-in
radar-out,SIGNAL NAME,radar-out
radar-ping,SIGNAL NAME,radar-ping
radar-sync,SIGNAL NAME,radar-sync
radio-rx,SIGNAL NAME,radio-rx
radio-tx,SIGNAL NAME,radio-tx
random,SIGNAL NAME,random
recommended,,推奨設定
red,SIGNAL NAME,red
reload,SIGNAL NAME,reload
reset-off,SIGNAL NAME,reset-off
respawn,SIGNAL NAME,respawn
rice,SIGNAL NAME,rice
score-1,SIGNAL NAME,score-1
score-2,SIGNAL NAME,score-2
sense-0,SIGNAL NAME,sense-0
sense-1,SIGNAL NAME,sense-1
sense-2,SIGNAL NAME,sense-2
sense-3,SIGNAL NAME,sense-3
sense-4,SIGNAL NAME,sense-4
sense-5,SIGNAL NAME,sense-5
sensor,SIGNAL NAME,sensor
simple,,単純
sonar,SIGNAL NAME,sonar
speaker,SIGNAL NAME,speaker
stage-1,SIGNAL NAME,stage-1
stage-2,SIGNAL NAME,stage-2
stage-3,SIGNAL NAME,stage-3
stage-4,SIGNAL NAME,stage-4
start-stop,SIGNAL NAME,start-stop
tag-reader,SIGNAL NAME,tag-reader
target-x,SIGNAL NAME,target-x
target-y,SIGNAL NAME,target-y
telos-data,SIGNAL NAME,telos-data
telos-pump,SIGNAL NAME,telos-pump
temp,SIGNAL NAME,temp
time,SIGNAL NAME,time
tool-clean,SIGNAL NAME,tool-clean
tool-feed,SIGNAL NAME,tool-feed
touch,SIGNAL NAME,touch
trigger,SIGNAL NAME,trigger
unlock,SIGNAL NAME,unlock
valve-0,SIGNAL NAME,valve-0
valve-1,SIGNAL NAME,valve-1
valve-2,SIGNAL NAME,valve-2
valve-α,SIGNAL NAME,valve-α
valve-β,SIGNAL NAME,valve-β
valve-ψ,SIGNAL NAME,valve-ψ
vermouth,SIGNAL NAME,vermouth
vodka,SIGNAL NAME,vodka
weight,SIGNAL NAME,weight
window,SIGNAL NAME,window
x,SIGNAL NAME,x
y,SIGNAL NAME,y
{0} COST | {1} POWER | {2} LINES,,{0} 製造コスト | {1} 使用電力 | {2} コード行数
“That’s just not something we do in this country. Not anymore.”,,我们在这个国家里不能这么做。现在已经不再允许了。
